Sample_ID,Biomass_Type,Class,Subclass,Ash_db,VM_db,FC_db,C_db,H_db,N_db,S_db,O_db,CV_MJ/kg_db,Na2O,MgO,Al2O3,SiO2,P2O5,K2O3,CaO,TiO2,Mn3O4,Fe2O3,Other,State,Longitude,Latitude
61,Forestry,Mixed,Hardwood (Eucalyptus),2.0,77.6,20.4,49.3,5.75,0.33,0.03,42.59,19.04,9.6,15.8,0.39,1.33,6.5,9.0,23.3,0.02,1.22,2.86,29.98,WA,116.51376,-33.74194976
62,Forestry,Mixed,Hardwood (Eucalyptus),3.0,80.7,16.3,49.1,5.86,0.38,0.03,41.63,19.24,1.9,9.3,0.32,0.6,2.0,5.9,41.0,0.01,0.33,0.5,38.14,WA,116.51376,-33.74194976
63,Forestry,Mixed,Hardwood (Eucalyptus),1.3,80.4,18.3,50.5,6.0,0.35,0.03,41.82,20.03,5.2,12.2,0.56,1.15,2.9,16.2,26.3,0.04,1.01,0.37,34.07,WA,116.1312159,-33.95445297
64,Forestry,Mixed,Hardwood (Eucalyptus),2.4,76.4,21.2,50.9,5.79,0.35,0.04,40.52,19.91,1.65,12.0,0.48,1.37,5.0,13.7,31.0,0.03,0.62,0.71,33.44,WA,116.51376,-33.74194976
65,Forestry,Mixed,Softwood (Maritine pine),1.0,79.0,20.0,51.0,6.0,0.0,0.0,42.0,20.0,,,,,,,,,,,,WA,117.4605272,-33.5703198
66,Forestry,Mixed,Softwood (Brutia pine),2.0,80.0,18.0,49.0,5.0,0.0,0.0,44.0,19.0,,,,,,,,,,,,WA,115.7339,-33.7294
67,Forestry,Mixed,Hardwood (Eucalyptus),2.6,78.9,18.5,48.8,5.72,0.26,0.03,42.59,18.83,2.69,10.8,0.33,0.58,1.6,6.6,37.1,0.02,1.05,0.16,39.07,WA,116.1312159,-33.95445297
68,Agricultural,Crop farming,Lucerne stems,3.0,79.6,17.4,47.9,5.96,1.08,0.09,41.97,18.93,3.3,8.8,0.85,3.0,2.7,13.9,31.0,0.05,0.06,1.83,34.51,WA,117.4605272,-33.5703198
69,Agricultural,Crop farming,Wheat straw,2.8,80.1,17.1,47.0,5.84,0.35,0.07,43.94,18.46,2.0,7.2,0.53,35.0,1.0,31.0,4.8,0.02,0.03,0.62,17.8,WA,117.4605272,-33.5703198
70,Industrial Processing,Timber industry,Residues (Softwood),0.4,82.3,17.3,52.1,5.96,0.13,0.02,41.39,20.05,1.2,9.6,13.8,9.1,6.3,17.9,18.0,0.15,1.25,1.98,20.72,QLD,152.6657079,-26.18344803
71,Industrial Processing,Timber industry,Sawdust (Hardwood),0.4,84.4,15.2,50.8,5.9,0.01,0.01,42.88,19.24,2.7,10.9,3.5,7.6,1.6,6.9,34.0,0.14,1.91,2.98,27.77,QLD,152.6657079,-26.18344803
72,Industrial Processing,Timber industry,Woodchips (Softwood),1.4,81.7,16.9,46.9,6.22,0.19,0.04,45.25,18.57,,,,,,,,,,,,VIC,145.9967675,-36.57890775
73,Industrial Processing,Timber industry,Woodchips (Softwood),1.7,82.0,16.3,46.9,6.18,0.1,0.02,45.1,22.26,,,,,,,,,,,,VIC,145.9967675,-36.57890775
74,Industrial Processing,Timber industry,Residue (Particle board),0.3,81.8,17.9,45.8,6.44,3.32,0.06,44.08,18.7,,,,,,,,,,,,VIC,145.9967675,-36.57890775
75,Industrial Processing,Timber industry,Sawdust (Unspecified),0.5,80.6,18.9,45.7,6.51,6.33,0.07,40.89,19.37,,,,,,,,,,,,VIC,145.9967675,-36.57890775
76,Forestry,Leaf/twig,Hardwood (Eucalyptus),2.1,77.9,20.0,51.8,6.13,0.57,0.07,39.33,21.15,14.2,9.4,1.06,2.29,6.0,13.1,21.6,0.06,0.05,0.73,31.51,WA,117.4605272,-33.5703198
77,Forestry,Bark,Hardwood (Eucalyptus),1.5,77.6,20.9,49.0,5.71,0.25,0.08,43.46,19.5,12.5,14.5,0.8,1.86,1.69,11.2,22.4,0.05,0.28,0.33,34.39,WA,117.4605272,-33.5703198
