Sample_ID,Biomass_Type,Class,Subclass,Ash_db,VM_db,FC_db,C_db,H_db,N_db,S_db,O_db,CV_MJ/kg_db,Na2O,MgO,Al2O3,SiO2,P2O5,K2O3,CaO,TiO2,Mn3O4,Fe2O3,Other,State,Longitude,Latitude,Energy_Density_Index,Volatile_Fixed_Ratio,Combustibility_Index,Alkali_Index,Silica_Ratio,Base_Acid_Ratio,Moist_ar,Moisture_Penalty,Effective_HHV
56,Forestry,Mixed,Hardwood (Eucalyptus),2.0,80.0,18.0,49.0,6.0,0.0,0.0,43.0,19.0,,,,,,,,,,,,WA,116.51376,-33.74194976,342.0,4.444444444444445,171.0,,,,10.0,0.09090909090909091,-171.0
57,Forestry,Mixed,Hardwood (Eucalyptus),2.4,78.6,19.0,48.7,5.83,0.32,0.05,42.7,19.72,8.9,7.2,0.61,1.31,2.2,8.6,31.2,0.03,0.27,0.28,39.4,WA,117.4605272,-33.5703198,374.67999999999995,4.136842105263158,156.11666666666665,17.5,0.03411458333333334,20.145833333333336,9.5,0.09523809523809523,-167.62
58,Forestry,Mixed,Hardwood (Eucalyptus),2.4,77.7,19.9,49.5,5.82,0.38,0.05,41.85,19.41,2.59,14.3,0.3,0.82,4.5,11.1,29.9,0.01,2.53,0.48,33.47,WA,116.51376,-33.74194976,386.25899999999996,3.904522613065327,160.94125,13.69,0.01855203619909502,39.892857142857146,9.6,0.09433962264150944,-166.926
59,Forestry,Mixed,Hardwood (Corymbia),2.2,79.6,18.2,48.7,5.83,0.32,0.04,42.91,19.05,7.6,12.8,0.56,1.66,4.9,7.3,30.0,0.02,0.78,0.95,33.43,WA,116.51376,-33.74194976,346.71,4.373626373626373,157.59545454545452,14.899999999999999,0.03878504672897196,19.707207207207208,10.1,0.0900900900900901,-173.355
60,Forestry,Leaf/twig,Saltbush,10.8,70.3,18.9,42.3,5.36,1.18,0.27,40.09,16.84,31.0,7.3,0.13,0.8,2.8,8.3,5.3,0.01,0.08,0.25,44.03,WA,117.4605272,-33.5703198,318.27599999999995,3.7195767195767195,29.469999999999995,39.3,0.0634920634920635,13.817204301075268,10.2,0.08928571428571429,-154.928
61,Forestry,Mixed,Hardwood (Eucalyptus),2.0,77.6,20.4,49.3,5.75,0.33,0.03,42.59,19.04,9.6,15.8,0.39,1.33,6.5,9.0,23.3,0.02,1.22,2.86,29.98,WA,116.51376,-33.74194976,388.41599999999994,3.803921568627451,194.20799999999997,18.6,0.0340153452685422,24.3953488372093,12.7,0.07299270072992702,-222.76799999999997
62,Forestry,Mixed,Hardwood (Eucalyptus),3.0,80.7,16.3,49.1,5.86,0.38,0.03,41.63,19.24,1.9,9.3,0.32,0.6,2.0,5.9,41.0,0.01,0.33,0.5,38.14,WA,116.51376,-33.74194976,313.61199999999997,4.950920245398773,104.53733333333332,7.800000000000001,0.011928429423459244,55.21739130434783,10.0,0.09090909090909091,-173.16
63,Forestry,Mixed,Hardwood (Eucalyptus),1.3,80.4,18.3,50.5,6.0,0.35,0.03,41.82,20.03,5.2,12.2,0.56,1.15,2.9,16.2,26.3,0.04,1.01,0.37,34.07,WA,116.1312159,-33.95445297,366.54900000000004,4.39344262295082,281.96076923076924,21.4,0.029870129870129866,22.730994152046783,10.2,0.08928571428571429,-184.27599999999998
64,Forestry,Mixed,Hardwood (Eucalyptus),2.4,76.4,21.2,50.9,5.79,0.35,0.04,40.52,19.91,1.65,12.0,0.48,1.37,5.0,13.7,31.0,0.03,0.62,0.71,33.44,WA,116.51376,-33.74194976,422.092,3.6037735849056607,175.87166666666667,15.35,0.031860465116279074,23.627027027027026,11.4,0.08064516129032258,-207.06400000000002
65,Forestry,Mixed,Softwood (Maritine pine),1.0,79.0,20.0,51.0,6.0,0.0,0.0,42.0,20.0,,,,,,,,,,,,WA,117.4605272,-33.5703198,400.0,3.95,400.0,,,,11.0,0.08333333333333333,-200.0
66,Forestry,Mixed,Softwood (Brutia pine),2.0,80.0,18.0,49.0,5.0,0.0,0.0,44.0,19.0,,,,,,,,,,,,WA,115.7339,-33.7294,342.0,4.444444444444445,171.0,,,,11.0,0.08333333333333333,-190.0
67,Forestry,Mixed,Hardwood (Eucalyptus),2.6,78.9,18.5,48.8,5.72,0.26,0.03,42.59,18.83,2.69,10.8,0.33,0.58,1.6,6.6,37.1,0.02,1.05,0.16,39.07,WA,116.1312159,-33.95445297,348.35499999999996,4.264864864864865,133.98269230769228,9.29,0.012108559498956156,52.81318681318682,10.7,0.08547008547008547,-182.65099999999998
68,Agricultural,Crop farming,Lucerne stems,3.0,79.6,17.4,47.9,5.96,1.08,0.09,41.97,18.93,3.3,8.8,0.85,3.0,2.7,13.9,31.0,0.05,0.06,1.83,34.51,WA,117.4605272,-33.5703198,329.38199999999995,4.574712643678161,109.79399999999998,17.2,0.07537688442211056,10.812987012987012,11.1,0.08264462809917356,-191.19299999999998
69,Agricultural,Crop farming,Wheat straw,2.8,80.1,17.1,47.0,5.84,0.35,0.07,43.94,18.46,2.0,7.2,0.53,35.0,1.0,31.0,4.8,0.02,0.03,0.62,17.8,WA,117.4605272,-33.5703198,315.66600000000005,4.6842105263157885,112.73785714285717,33.0,2.9166666666666665,0.35519279482127775,56.8,0.01730103806228374,-1030.068
70,Industrial Processing,Timber industry,Residues (Softwood),0.4,82.3,17.3,52.1,5.96,0.13,0.02,41.39,20.05,1.2,9.6,13.8,9.1,6.3,17.9,18.0,0.15,1.25,1.98,20.72,QLD,152.6657079,-26.18344803,346.865,4.757225433526012,867.1625,19.099999999999998,0.3297101449275362,1.291703056768559,54.6,0.017985611510791366,-1074.68
71,Industrial Processing,Timber industry,Sawdust (Hardwood),0.4,84.4,15.2,50.8,5.9,0.01,0.01,42.88,19.24,2.7,10.9,3.5,7.6,1.6,6.9,34.0,0.14,1.91,2.98,27.77,QLD,152.6657079,-26.18344803,292.448,5.552631578947369,731.1199999999999,9.600000000000001,0.16926503340757237,4.313513513513513,30.4,0.03184713375796178,-565.656
72,Industrial Processing,Timber industry,Woodchips (Softwood),1.4,81.7,16.9,46.9,6.22,0.19,0.04,45.25,18.57,,,,,,,,,,,,VIC,145.9967675,-36.57890775,313.83299999999997,4.83431952662722,224.16642857142855,,,,10.2,0.08928571428571429,-170.844
73,Industrial Processing,Timber industry,Woodchips (Softwood),1.7,82.0,16.3,46.9,6.18,0.1,0.02,45.1,22.26,,,,,,,,,,,,VIC,145.9967675,-36.57890775,362.838,5.030674846625766,213.43411764705886,,,,12.5,0.07407407407407407,-255.99
74,Industrial Processing,Timber industry,Residue (Particle board),0.3,81.8,17.9,45.8,6.44,3.32,0.06,44.08,18.7,,,,,,,,,,,,VIC,145.9967675,-36.57890775,334.72999999999996,4.5698324022346375,1115.7666666666667,,,,7.8,0.11363636363636363,-127.16
75,Industrial Processing,Timber industry,Sawdust (Unspecified),0.5,80.6,18.9,45.7,6.51,6.33,0.07,40.89,19.37,,,,,,,,,,,,VIC,145.9967675,-36.57890775,366.093,4.264550264550264,732.186,,,,4.8,0.1724137931034483,-73.606
76,Forestry,Leaf/twig,Hardwood (Eucalyptus),2.1,77.9,20.0,51.8,6.13,0.57,0.07,39.33,21.15,14.2,9.4,1.06,2.29,6.0,13.1,21.6,0.06,0.05,0.73,31.51,WA,117.4605272,-33.5703198,423.0,3.8950000000000005,201.42857142857142,27.299999999999997,0.07387096774193548,9.471641791044776,10.2,0.08928571428571429,-194.57999999999998
77,Forestry,Bark,Hardwood (Eucalyptus),1.5,77.6,20.9,49.0,5.71,0.25,0.08,43.46,19.5,12.5,14.5,0.8,1.86,1.69,11.2,22.4,0.05,0.28,0.33,34.39,WA,117.4605272,-33.5703198,407.54999999999995,3.712918660287081,271.7,23.7,0.05040650406504066,13.996240601503757,10.5,0.08695652173913043,-185.25
78,Forestry,Stem,Hardwood (Eucalyptus),0.3,86.1,13.6,48.8,5.91,0.16,0.03,44.8,19.45,4.0,20.2,0.41,1.33,1.9,15.8,23.1,0.04,0.62,1.82,30.78,WA,117.4605272,-33.5703198,264.52,6.330882352941177,881.7333333333333,19.8,0.030715935334872983,25.93103448275862,9.3,0.0970873786407767,-161.435
79,Forestry,Leaf/twig,Hardwood (Eucalyptus),2.6,77.5,19.9,52.4,6.41,1.0,0.06,37.53,21.64,8.0,10.5,0.25,0.76,7.8,15.3,24.2,0.01,0.7,0.29,32.19,WA,116.51376,-33.74194976,430.63599999999997,3.8944723618090453,165.62923076923076,23.3,0.02190201729106628,34.64356435643565,9.7,0.09345794392523366,-188.268
80,Forestry,Bark,Hardwood (Eucalyptus),3.0,76.0,21.0,46.8,5.45,0.3,0.03,44.42,18.2,2.64,23.4,0.11,0.28,4.5,5.9,30.7,0.01,1.28,0.2,30.98,WA,116.51376,-33.74194976,382.2,3.619047619047619,127.39999999999999,8.540000000000001,0.005175600739371535,139.23076923076923,11.3,0.08130081300813008,-187.46
