Sample_ID,Biomass_Type,Class,Subclass,Ash_db,VM_db,FC_db,C_db,H_db,N_db,S_db,O_db,CV_MJ/kg_db,Na2O,MgO,Al2O3,SiO2,P2O5,K2O3,CaO,TiO2,Mn3O4,Fe2O3,Other,State,Longitude,Latitude,Energy_Density_Index,Volatile_Fixed_Ratio,Combustibility_Index,Alkali_Index,Silica_Ratio,Base_Acid_Ratio,Moist_ar,Moisture_Penalty,Effective_HHV,Cluster
89,Forestry,Bark,Softwood (Brutia pine),5.0,74.5,20.5,46.3,5.58,0.3,0.04,42.78,17.58,0.94,3.1,0.46,0.83,0.89,3.9,45.1,0.01,0.01,0.13,44.63,WA,115.7339,-33.7294,360.39,3.634146341463415,72.078,4.84,0.0172199170124481,37.46511627906977,11.2,0.0819672131147541,-179.31599999999997,1.0
90,Forestry,Stem,Softwood (Brutia pine),0.4,83.5,16.1,51.6,6.17,0.49,0.01,41.33,20.02,1.01,4.2,0.56,1.83,1.4,6.2,45.8,0.02,0.05,0.54,38.39,WA,115.7339,-33.7294,322.322,5.186335403726708,805.805,7.21,0.0366,21.14644351464435,10.3,0.0884955752212389,-186.186,1.0
91,Forestry,Stem,Hardwood (Eucalyptus),0.4,83.8,15.8,50.2,5.78,0.09,0.02,43.51,18.94,3.2,7.9,0.3,0.6,3.4,13.4,31.6,0.01,1.3,1.47,36.82,ACT,149.0966991,-35.30278805,299.252,5.30379746835443,748.13,16.6,0.0151898734177215,45.52222222222223,18.9,0.050251256281407,-339.026,1.0
92,Forestry,Bark,Hardwood (Eucalyptus),1.9,74.7,23.4,50.4,5.42,0.16,0.02,42.1,19.44,2.31,14.0,0.26,0.62,1.0,7.9,34.1,0.01,2.12,0.74,36.94,ACT,149.0966991,-35.30278805,454.896,3.1923076923076925,239.41894736842107,10.21,0.0128898128898128,55.50000000000001,19.3,0.0492610837438423,-355.752,1.0
93,Forestry,Stem,Hardwood (Dogwood),0.4,88.6,11.0,51.3,6.09,0.05,0.02,42.14,19.37,2.4,5.7,2.87,10.5,1.3,12.5,24.4,0.47,0.31,11.5,28.05,TAS,147.0586036,-43.02935327,213.07,8.054545454545455,532.6750000000001,14.9,0.3488372093023256,3.111443530291697,22.0,0.0434782608695652,-406.77,1.0
94,Forestry,Stem,Hardwood (Tea tree),0.5,85.4,14.1,50.1,5.91,0.06,0.03,43.4,19.57,6.2,8.0,0.86,2.1,1.3,17.7,24.5,0.04,2.46,1.62,35.22,TAS,147.0586036,-43.02935327,275.937,6.056737588652483,551.874,23.9,0.0646153846153846,11.527027027027026,29.4,0.0328947368421052,-555.788,1.0
95,Forestry,Bark,Hardwood (Eucalyptus),0.2,88.0,11.8,49.1,5.95,0.09,0.01,44.65,18.71,10.6,6.2,5.2,15.7,3.2,20.4,10.6,0.35,0.86,6.6,20.29,TAS,147.0586036,-43.02935327,220.778,7.4576271186440675,1103.89,31.0,0.9345238095238094,1.1196172248803828,24.8,0.0387596899224806,-445.29800000000006,1.0
96,Forestry,Stem,Hardwood (Eucalyptus),0.1,87.2,12.7,50.3,5.52,0.06,0.02,44.0,19.65,6.8,7.9,2.32,7.0,2.3,13.9,18.1,0.18,4.7,9.1,27.7,TAS,147.0586036,-43.02935327,249.555,6.866141732283465,2495.55,20.7,0.2692307692307692,3.7660944206008575,23.3,0.0411522633744856,-438.195,1.0
97,Industrial Processing,Timber industry,Timber waste (Softwood),0.2,86.2,13.6,50.1,6.02,0.05,0.01,43.62,19.25,1.3,7.1,2.62,7.7,1.3,11.5,26.1,0.2,1.34,14.6,26.24,SA,140.7804,-37.8284,261.8,6.338235294117648,1309.0,12.8,0.2319277108433735,4.631782945736434,9.6,0.0943396226415094,-165.54999999999998,1.0
98,Industrial Processing,Timber industry,Timber waste (Softwood),0.1,87.4,12.5,51.0,6.07,0.08,,42.75,19.37,,,,,,,,,,,,VIC,143.5919793,-38.31318735,242.125,6.992000000000001,2421.25,,,,9.0,0.1,-154.96,1.0
99,Industrial Processing,Timber industry,Timber waste (Softwood),0.7,81.6,17.7,53.8,6.13,0.13,0.02,39.22,21.76,0.05,4.9,0.47,0.92,0.3,2.3,46.7,0.02,1.19,0.54,42.61,QLD,148.8039668,-26.56315519,385.152,4.610169491525424,550.2171428571429,2.35,0.017829457364341,37.51079136690648,11.5,0.08,-228.48,1.0
100,Industrial Processing,Timber industry,Timber waste (Softwood),0.7,81.6,17.7,54.2,6.16,0.11,,38.83,21.76,,,,,,,,,,,,NSW,149.7709993,-30.21985604,385.152,4.610169491525424,550.2171428571429,,,,11.5,0.08,-228.48,1.0
101,Industrial Processing,Timber industry,Timber waste (Softwood),0.1,89.0,10.9,54.3,6.63,0.1,,38.87,21.41,,,,,,,,,,,,QLD,145.5026655,-17.61695047,233.369,8.1651376146789,2333.69,,,,10.5,0.0869565217391304,-203.395,1.0
102,Industrial Processing,Timber industry,Timber waste (Softwood),0.1,86.6,13.3,51.1,6.16,0.01,,42.63,19.65,,,,,,,,,,,,QLD,152.8749534,-25.68326039,261.345,6.511278195488721,2613.45,,,,10.5,0.0869565217391304,-186.675,1.0
103,Industrial Processing,Timber industry,Timber waste (Softwood),0.1,85.3,14.6,50.5,6.07,0.08,0.01,43.24,19.5,0.8,7.7,1.12,2.2,1.5,13.2,32.2,0.04,1.55,1.0,38.69,QLD,152.6455929,-26.49856593,284.7,5.842465753424658,2846.9999999999995,14.0,0.0551378446115288,12.319277108433736,9.8,0.0925925925925925,-171.60000000000002,1.0
104,Industrial Processing,Timber industry,Timber waste (Softwood),0.2,85.4,14.4,50.2,6.12,0.02,,43.46,18.91,,,,,,,,,,,,QLD,145.5026655,-17.61695047,272.30400000000003,5.930555555555556,1361.52,,,,12.0,0.0769230769230769,-208.01,1.0
105,Forestry,Bark,Softwood (Cypress pine),4.6,71.4,24.0,56.5,5.55,0.37,,32.98,22.25,,,,,,,,,,,,NSW,149.166643,-30.95793089,534.0,2.975,116.08695652173914,,,,12.0,0.0769230769230769,-244.75,1.0
106,Industrial Processing,Timber industry,Timber waste (Hardwood),0.2,88.6,11.2,49.3,5.88,0.09,,44.53,18.01,,,,,,,,,,,,VIC,146.7749064,-37.97806838,201.712,7.910714285714286,1008.56,,,,10.0,0.0909090909090909,-162.09,1.0
107,Industrial Processing,Timber industry,Timber waste (Hardwood),0.1,89.3,10.7,48.8,6.09,0.06,,44.95,17.74,,,,,,,,,,,,VIC,145.7367309,-37.19811099,189.818,8.345794392523365,1898.18,,,,8.9,0.101010101010101,-140.146,1.0
108,Industrial Processing,Timber industry,Timber waste (Hardwood),0.1,89.6,10.4,48.5,6.12,0.03,0.01,45.24,18.19,3.8,7.7,3.0,9.9,0.4,15.9,22.4,1.22,1.51,3.7,30.47,VIC,145.753,-37.865,189.176,8.615384615384615,1891.76,19.7,0.3289036544850499,2.6201550387596897,10.3,0.0884955752212389,-169.16700000000003,1.0
109,Industrial Processing,Timber industry,Timber waste (Hardwood),0.0,83.9,16.1,49.5,5.88,0.06,,44.56,19.99,,,,,,,,,,,,VIC,145.753,-37.865,321.839,5.211180124223603,inf,,,,10.5,0.0869565217391304,-189.905,1.0
110,Industrial Processing,Timber industry,Timber waste (Hardwood),1.3,82.1,16.6,50.3,5.72,0.06,,42.62,19.68,,,,,,,,,,,,QLD,148.5808,-20.405,326.68800000000005,4.94578313253012,251.2984615384616,,,,8.6,0.1041666666666666,-149.56799999999998,1.0
111,Industrial Processing,Timber industry,Timber waste (Hardwood),0.7,86.6,12.7,49.7,5.91,0.02,,43.67,19.3,,,,,,,,,,,,NSW,152.9387788,-29.72808813,245.11,6.818897637795276,350.15714285714284,,,,12.4,0.0746268656716417,-220.02,1.0
112,Industrial Processing,Timber industry,Timber waste (Hardwood),0.2,89.2,10.6,49.5,5.97,0.07,,44.26,18.56,,,,,,,,,,,,NSW,152.9387788,-29.72808813,196.736,8.415094339622643,983.68,,,,9.6,0.0943396226415094,-159.616,1.0
113,Industrial Processing,Timber industry,Timber waste (Hardwood),0.2,88.1,11.7,49.7,5.89,0.07,0.01,44.13,17.57,7.0,5.4,3.2,6.9,0.5,2.74,18.1,1.06,0.52,38.2,16.38,NSW,152.9387788,-29.72808813,205.569,7.52991452991453,1027.8449999999998,9.74,0.2936170212765958,6.108910891089108,10.7,0.0854700854700854,-170.429,1.0
114,Industrial Processing,Timber industry,Timber waste (Hardwood),0.1,87.8,12.1,50.1,5.91,0.07,0.01,43.81,18.38,10.3,12.0,2.97,9.7,0.67,6.8,19.3,0.2,0.12,11.2,26.74,QLD,148.5808,-20.405,222.398,7.256198347107438,2223.98,17.1,0.3099041533546325,3.3543804262036305,9.9,0.091743119266055,-163.582,1.0
115,Industrial Processing,Timber industry,Timber waste (Hardwood),0.1,84.9,15.0,50.2,5.82,0.03,0.03,43.82,19.5,13.2,1.0,3.1,10.1,0.4,1.76,4.3,0.17,0.19,55.3,10.48,NSW,,,292.5,5.66,2925.0,14.96,1.9056603773584904,4.590909090909091,10.6,0.0862068965517241,-187.2,1.0
116,Forestry,Mixed,Hardwood (Eucalyptus),1.8,79.8,18.4,49.9,6.15,0.36,0.06,41.73,19.9,11.1,0.12,0.83,5.1,3.3,13.2,20.3,0.05,1.75,3.5,40.75,SA,137.2142,-35.7752,366.16,4.336956521739131,203.4222222222222,24.3,0.2497551420176297,4.033726812816189,17.0,0.0555555555555555,-318.4,1.0
117,Forestry,Mixed,Hardwood (Broombush),2.1,78.6,19.3,52.0,6.16,0.45,0.16,39.13,20.93,18.7,5.2,0.81,4.8,4.7,10.0,15.8,0.05,1.1,4.3,34.54,SA,137.2142,-35.7752,403.949,4.072538860103626,192.35666666666663,28.7,0.2285714285714285,4.509803921568628,13.0,0.0714285714285714,-251.16,1.0
118,Industrial Processing,Other,Macadamia nut shells,0.3,79.6,20.1,52.4,5.7,0.29,0.04,41.27,20.9,1.58,5.5,1.76,5.4,3.5,33.8,9.2,0.08,0.66,8.2,30.32,QLD,152.6657079,-26.18344803,420.09,3.960199004975124,1400.3,35.379999999999995,0.3673469387755102,3.1983240223463683,9.3,0.0970873786407767,-173.47,1.0
119,Urban Waste,MSW,Food waste (MSW),6.1,77.1,16.9,48.4,6.7,2.94,0.2,34.8,20.3,11.7,2.98,1.12,6.0,18.1,6.12,44.4,0.08,0.05,0.92,8.53,QLD,153.0057,-27.602,343.07,4.562130177514793,56.24098360655738,17.82,0.1266357112705783,6.783707865168539,70.6,0.0139664804469273,-1412.88,1.0
120,Urban Waste,MSW,Garden waste (MSW),8.3,69.9,21.8,47.7,5.7,1.24,0.21,36.26,18.7,1.42,6.4,2.46,43.2,4.35,9.92,21.9,0.24,0.13,1.17,8.81,QLD,153.0057,-27.602,407.66,3.206422018348624,49.11566265060241,11.34,1.5265017667844525,0.6454226894437143,59.9,0.0164203612479474,-1101.4299999999998,1.0
121,Urban Waste,MSW,Printing paper (MSW),9.7,74.8,15.5,42.9,5.4,0.13,0.03,41.76,16.3,1.98,1.56,15.5,24.0,0.34,0.65,53.2,0.28,0.05,1.23,1.21,QLD,153.0057,-27.602,252.65,4.825806451612903,26.04639175257732,2.63,0.4382761139517895,1.41746835443038,19.8,0.048076923076923,-306.44,1.0
122,Urban Waste,MSW,Packaging paper (MSW),12.2,75.4,12.4,41.2,5.2,0.19,0.08,41.04,15.5,1.8,3.27,13.8,21.5,0.28,0.34,55.0,1.46,0.04,0.74,1.77,QLD,153.0057,-27.602,192.2,6.080645161290323,15.75409836065574,2.14,0.3689720267719237,1.6716713881019831,25.0,0.0384615384615384,-372.0,1.0
123,Urban Waste,MSW,Packaging plastic (MSW),3.9,91.5,4.6,72.8,9.4,0.34,0.03,11.53,25.9,0.97,2.44,16.9,19.3,2.22,0.12,37.3,16.8,0.08,2.45,1.42,QLD,153.0057,-27.602,119.14,19.89130434782609,30.548717948717947,1.09,0.4856567689984902,1.1654696132596682,25.6,0.037593984962406,-637.14,1.0
124,Urban Waste,MSW,Non-packaging plastic (MSW),1.3,97.8,0.9,83.8,9.5,3.31,0.03,0.96,40.6,0.17,2.77,6.0,17.7,1.01,,54.1,5.8,0.09,3.11,9.25,QLD,153.0057,-27.602,36.54,108.66666666666666,28.107692307692307,,0.3112361526288025,2.5308016877637134,2.2,0.3125,-48.720000000000006,0.0
125,Urban Waste,MSW,Textiles (MSW),1.4,81.7,16.9,51.8,6.1,1.74,0.2,38.71,20.9,5.3,3.76,5.3,24.8,4.06,3.72,12.2,29.6,0.05,1.47,9.74,QLD,153.0057,-27.602,353.2099999999999,4.83431952662722,252.29285714285712,9.02,1.5538847117794488,0.5790697674418605,20.1,0.0473933649289099,-399.19,1.0
126,Urban Waste,MSW,Woody waste (MSW),1.0,80.8,18.2,49.6,6.1,0.17,0.02,43.04,19.5,3.63,4.66,9.1,13.0,1.09,3.28,35.6,9.9,0.21,7.6,11.93,QLD,153.0057,-27.602,354.9,4.43956043956044,354.9,6.91,0.3229011425732737,2.165610859728507,11.9,0.0775193798449612,-212.55,1.0
127,Urban Waste,MSW,Other combustibles (MSW),20.4,72.3,7.3,56.1,7.0,1.3,0.66,13.95,25.6,20.2,0.73,7.9,46.2,1.51,1.84,10.0,0.58,0.02,0.92,10.1,QLD,153.0057,-27.602,186.88,9.904109589041097,9.160784313725491,22.04,4.305684995340168,0.2153419593345656,28.2,0.0342465753424657,-696.32,1.0
128,Urban Waste,MSW,Combustibles (MSW),7.6,77.4,15.1,52.8,6.4,1.29,0.18,31.0,22.5,10.02,2.27,8.91,28.12,4.35,2.491746032,34.21,1.81,0.04,1.09,6.69,QLD,153.0057,-27.602,339.75,5.125827814569537,44.703947368421055,12.511746032,0.7708333333333333,1.014582770726438,49.5,0.0198019801980198,-1091.25,1.0
129,Urban Waste,Green waste,Shredded green waste,14.2,65.5,20.3,43.9,5.4,0.74,0.12,35.31,17.2,,,,,,,,,,,,QLD,153.0057,-27.602,349.16,3.226600985221675,24.5887323943662,,,,28.7,0.0336700336700336,-476.44,1.0
130,Urban Waste,Green waste,Shredded green waste,7.9,71.1,21.0,47.5,5.2,0.81,0.14,38.0,18.4,,,,,,,,,,,,QLD,153.0057,-27.602,386.4,3.385714285714285,48.91139240506329,,,,35.5,0.0273972602739726,-634.8,1.0
131,Urban Waste,Green waste,Raw Green waste,11.5,68.1,20.4,46.0,5.4,1.02,0.14,35.5,17.7,,,,,,,,,,,,QLD,153.0057,-27.602,361.08,3.338235294117647,31.398260869565217,,,,46.0,0.0212765957446808,-796.5,1.0
132,Urban Waste,Green waste,Shredded green waste,8.0,72.1,19.9,47.2,5.6,0.73,0.11,38.36,16.97,2.73,4.07,5.4,43.5,3.22,7.907936508,19.2,0.49,0.15,2.36,10.97,QLD,153.0057,-27.602,337.703,3.6231155778894473,42.212875,10.637936508,1.8693596905887409,0.5241308793456033,38.8,0.0251256281407035,-641.4659999999999,1.0
133,Industrial Processing,Timber industry,Woodchips (Hardwood),0.53,83.75,15.72,49.88,5.8,0.08,0.01,43.7,19.41,2.72,8.2,1.68,10.2,2.09,6.341269841,49.3,0.17,0.98,0.95,17.37,QLD,,,305.1252,5.327608142493639,575.7079245283019,9.061269841,0.177391304347826,4.92003367003367,22.1,0.0432900432900432,-409.551,1.0
134,Urban Waste,Biosolids,Treated biosolids,41.3,50.3,8.4,31.1,4.7,9.82,1.18,11.9,14.0,0.65,8.8,11.1,15.6,36.9,1.447301587,9.9,1.1,0.12,12.1,2.28,QLD,153.0099,-27.5473,117.6,5.988095238095237,2.8474576271186445,2.097301587,0.8342245989304812,1.153558052434457,74.1,0.0133155792276964,-1023.4,2.0
135,Industrial Processing,Timber industry,Wood pellet (softwood),0.41,85.4,14.2,52.5,6.3,0.13,0.02,40.64,21.3,3.74,15.5,1.56,6.0,7.2,13.05555556,30.0,0.08,1.2,0.79,20.87,QLD,152.6971,-25.5233,302.46,6.014084507042254,737.7073170731708,16.79555556,0.1318681318681318,6.123015873015873,6.6,0.131578947368421,-119.28,1.0
136,Urban Waste,Biosolids,Biosolids pellet,33.9,,,,,,,,,1.28,6.9,10.9,23.0,23.1,0.88031746,10.0,0.93,0.11,15.3,7.6,QLD,153.1488,-27.3799,,,,2.16031746,1.3609467455621302,0.9498525073746312,16.0,0.0588235294117647,,
137,Industrial Processing,Timber industry,Hardwood (Eucalyptus),1.1,82.0,16.8,48.7,5.79,0.68,0.04,43.7,19.25,,,,,,,,,,,,WA,116.882,-30.353,323.40000000000003,4.8809523809523805,294.0,,,,9.6,0.0943396226415094,-165.54999999999998,1.0
138,Industrial Processing,Other,Hardwood (Eucalyptus),8.0,73.4,18.6,49.0,5.91,0.13,0.09,36.9,19.91,,,,,,,,,,,,WA,117.12,-30.36,370.326,3.946236559139785,46.29075,,,,6.6,0.131578947368421,-111.496,1.0
139,Industrial Processing,Other,Wood waste and plastics waste,8.41,71.05,20.54,45.49,5.68,1.27,0.17,37.69,18.58,,,,,,,,,,,,QLD,153.2175,-27.7508,381.63319999999993,3.4591041869522883,45.37850178359096,,,,40.3,0.0242130750605326,-730.1939999999998,1.0
140,Industrial Processing,Other,Wood waste and plastics waste,13.59,68.85,17.56,44.65,5.62,1.05,0.16,33.98,17.9,,,,,,,,,,,,QLD,153.2175,-27.7508,314.324,3.920842824601367,23.129065489330387,,,,32.5,0.0298507462686567,-563.8499999999999,1.0
141,Agricultural,Other,Algae (Phyllospora),22.69,69.16,8.15,36.1,4.4,0.98,0.95,32.29,13.2,17.63,9.96,0.28,5.26,2.37,29.76,15.51,0.07,0.03,0.33,18.76,VIC,145.2038,-38.4899,107.58,8.485889570552146,4.741295724988982,47.39,0.2065174715351393,4.657039711191335,,,,
142,Agricultural,Other,Algae (Macrocystis),37.86,55.22,6.92,28.4,3.6,1.12,0.9,20.11,10.35,15.08,5.77,0.64,11.7,2.71,42.53,11.51,0.13,0.03,0.6,9.26,VIC,144.9726,-38.4345,71.622,7.979768786127168,1.8917591125198097,57.61,0.6770833333333333,1.4489465153970829,,,,
